ID,Gender,Weight (kg),Height (cm),Size
926,Male,-1.1,68.4,XS
927,Female,15.2,96.7,S
928,Male,27.8,106,S
929,Female,16.8,108.8,S
930,Male,22.4,70.6,XS
931,Female,27.2,117.8,S
932,Male,7.5,68.4,XS
933,Female,41,151.9,M
934,Female,17.3,69.2,XS
935,Female,43.7,175.2,XL
936,Male,30.2,112.1,M
937,Female,45,154.3,M
938,Female,44.3,162.3,XL
939,Male,31.9,161.6,XL
940,Female,1.7,47.6,XS
941,Female,33.6,132.5,M
942,Male,40.3,166.8,XL
943,Female,20.9,102.6,S
944,Male,29.2,119.7,S
945,Female,13.6,72.7,XS
946,Female,9.1,73.4,XS
947,Female,38.3,138.9,M
948,Male,30.8,119.2,M
949,Male,21.3,101.6,S
950,Female,48.3,168.4,XL
951,Male,23,98.6,S
952,Male,44.7,168.4,XL
953,Male,31.3,127.3,M
954,Female,7.3,63.9,XS
955,Female,41.7,158.9,M
956,Female,20.7,76.4,XS
957,Female,8.9,81.8,XS
958,Male,9.9,70.2,XS
959,Female,12.3,71.3,XS
960,Male,38.7,157.3,M
961,Male,41.6,167.2,XL
962,Male,19.9,103.6,S
963,Female,12.8,116.8,S
964,Male,5.8,67.7,XS
965,Female,37.6,131.4,M
966,Male,49.8,161.3,XL
967,Male,26.5,119.9,S
968,Female,12,63.4,XS
969,Female,46.1,170.5,XL
970,Male,39.8,137.9,M
971,Male,30.8,121.4,M
972,Female,18.5,89,S
973,Female,39.4,138,M
974,Female,35.1,147.9,M
975,Female,39.5,156.5,M
976,Female,34.4,130.3,M
977,Male,43.6,134.6,M
978,Male,47.4,172.4,XL
979,Male,25.4,96.6,S
980,Male,4.5,39.9,XS
981,Female,37.7,155.4,M
982,Female,30.7,154,M
983,Female,46.7,187.7,XL
984,Male,6.3,69.8,XS
985,Male,28.3,131.5,XL
986,Male,37.2,149.5,M
987,Female,-0.1,55.4,XS
988,Male,45.1,140.3,M
989,Female,37,138.6,M
990,Male,23.4,89,S
991,Male,2.7,76.2,XS
992,Male,11.6,73.6,XS
993,Male,42.8,147.3,M
994,Female,-0.1,50.1,XS
995,Male,29.6,123.9,XL
996,Male,21.5,102.7,S
997,Female,37.9,150,M
998,Male,24.3,127.5,XL
999,Male,13.6,76,XS
1000,Male,46.7,172.3,XL
1001,Female,26.2,118.1,S
1002,Female,25.8,104,S
1003,Male,9.9,61.8,XS
1004,Male,34.1,127,M
1005,Male,35.8,122.7,M
1006,Female,16.3,83.6,S
1007,Female,14.1,66.1,XS
1008,Male,7.9,58.9,XS
1009,Female,43,163.4,XL
1010,Male,34.1,147.5,M
1011,Female,49.3,174.6,XL
1012,Female,20.8,96.7,S
1013,Female,8.5,87.1,XS
1014,Female,17.1,77.3,XS
1015,Female,15,117.8,S
1016,Female,44.7,155.9,M
1017,Female,-8.2,44.2,XS
1018,Male,54.7,168.1,L
1019,Male,38.9,171.5,XL
1020,Male,35.9,145.9,M
1021,Female,26.9,117.2,S
1022,Male,28.3,140.6,XL
1023,Male,41.1,150.1,M
1024,Male,49,149.1,M
1025,Male,38.1,132.6,M
1026,Female,18.2,105.5,S
1027,Male,29.6,131.2,XL
1028,Female,29.6,118.3,S
1029,Female,30.9,125.5,M
1030,Female,12.8,61.6,XS
1031,Male,16.9,58.7,XS
1032,Male,14.3,100.8,S
1033,Female,14.6,61.2,XS
1034,Female,12.1,84,S
1035,Female,18,115.5,S
1036,Male,21.7,101,S
1037,Male,4.9,71.7,XS
1038,Male,25.6,99.8,S
1039,Male,5.5,56.1,XS
1040,Female,46.4,149.5,M
1041,Male,31.6,138.2,M
1042,Female,30.1,154.8,M
1043,Male,19.4,91.2,S
1044,Male,16.4,71.3,XS
1045,Female,7.1,46.6,XS
1046,Male,45.8,164.1,XL
1047,Male,35.9,149.1,M
1048,Male,2.7,52.8,XS
1049,Male,3,61.5,XS
1050,Female,41.3,155.5,M
1051,Female,16.3,106.4,S
1052,Female,23.1,92,S
1053,Male,32.8,126.3,M
1054,Male,26.5,121.3,XL
1055,Female,36.8,114.2,M
1056,Female,1.7,51.6,XS
1057,Female,50.1,165.1,L
1058,Female,48.4,161.4,XL
1059,Male,26.7,73.8,XS
1060,Male,35.6,135.4,M
1061,Female,6.2,90.2,XS
1062,Male,20.2,113.8,S
1063,Male,6.6,77.6,XS
1064,Male,48.7,169,XL
1065,Female,41.3,146.4,M
1066,Male,38,141.3,M
1067,Female,8.9,61,XS
1068,Male,10.9,60.9,XS
1069,Female,27.3,102,S
1070,Male,46.2,182.1,XL
1071,Female,14.7,72,XS
1072,Male,36.3,149.4,M
1073,Female,14.4,100.3,S
1074,Female,-2.7,56.1,XS
1075,Female,4.2,63,XS
1076,Female,19.3,97.2,S
1077,Female,45,169.4,XL
1078,Male,18.2,87.4,S
1079,Male,30.1,131.5,M
1080,Male,9.2,79.8,XS
1081,Female,28.8,135.4,XL
1082,Male,36.1,132.2,M
1083,Female,12.6,67,XS
1084,Female,44.7,149.7,M
1085,Male,3.7,42,XS
1086,Female,21,96.5,S
1087,Male,52.7,157.1,L
1088,Female,27.4,125.2,XL
1089,Male,32.3,128.9,M
1090,Female,25.2,112.6,S
1091,Female,35.4,142.1,M
1092,Male,20.5,108.6,S
1093,Female,40.1,147.1,M
1094,Male,5.5,55.9,XS
1095,Female,21.3,98.5,S
1096,Female,44.1,144.7,M
1097,Male,14.1,83.4,S
1098,Male,36.6,133,M
1099,Male,33.8,162.9,XL
1100,Male,38.8,141.2,M
1101,Male,21.9,78.5,XS
1102,Male,2.8,55.2,XS
1103,Female,42.5,141.3,M
1104,Male,15.2,41.8,XS
1105,Male,22.4,113.1,S
1106,Male,27.8,164.9,XL
1107,Female,8.9,61.8,XS
1108,Female,25.5,92,S
1109,Female,33.1,139.5,M
1110,Male,41.6,142.7,M
1111,Female,49.4,176.7,XL
1112,Male,9.5,49.8,XS
1113,Female,5.5,53.9,XS
1114,Female,17.7,93.2,S
1115,Male,33.3,150.2,M
1116,Female,17.1,87.4,S
1117,Female,44.2,171.9,XL
1118,Female,17.1,88,S
1119,Male,33.5,122.9,M
1120,Male,25.3,108.6,S
1121,Female,30.5,103.3,M
1122,Female,35.8,172.3,XL
1123,Male,11.9,57.8,XS
1124,Female,19.1,79.9,XS
1125,Male,29.5,122.8,XL
1126,Female,20.8,102,S
1127,Male,16.2,67.3,XS
1128,Female,9.2,72.8,XS
1129,Male,8.9,72.9,XS
1130,Male,13.8,71.7,XS
1131,Female,16.7,80.2,S
1132,Male,14.9,106.6,S
1133,Male,10,81.2,S
1134,Male,27.4,89.3,S
1135,Male,43.5,156.7,M
1136,Male,41,164.9,XL
1137,Female,9.5,63.6,XS
1138,Male,42.4,169.8,XL
1139,Male,21.2,101.5,S
1140,Male,13.4,66.4,XS
1141,Female,24.5,91.1,S
1142,Male,0.2,80.3,XS
1143,Male,19.7,105,S
1144,Female,-4.9,41.4,XS
1145,Female,20.8,71.2,XS
1146,Male,19,110.4,S
1147,Female,30.4,121.5,M
1148,Male,5.2,47.5,XS
1149,Female,4.5,68.2,XS
1150,Female,9.2,73.1,XS
1151,Female,11.8,83.1,S
1152,Female,45.8,162.9,XL
1153,Male,18.7,103.4,S
1154,Male,28,99.6,S
1155,Female,15.3,95,S
1156,Male,5.6,61.8,XS
1157,Male,37.1,125.5,M
1158,Female,3.5,55.1,XS
1159,Female,8.3,51,XS
1160,Male,18.7,71,XS
1161,Female,1.8,56.1,XS
1162,Male,54.3,155.5,L
1163,Female,19.4,71.9,XS
1164,Female,23.6,95.8,S
1165,Female,33.5,125.3,M
1166,Female,19.8,107,S
1167,Female,41.7,158.7,M
1168,Female,41.1,142.1,M
1169,Female,30.6,165.3,XL
1170,Male,8.3,79.4,XS
1171,Male,5.7,55.8,XS
1172,Male,-0.8,62.9,XS
1173,Female,23.2,127.6,XL
1174,Female,36,143.2,M
1175,Female,13.3,58.6,XS
1176,Female,31.8,140.6,M
1177,Female,31.7,145.3,M
1178,Male,41.3,151.6,M
1179,Male,27.2,84.3,S
1180,Male,34.6,153.5,M
1181,Female,32.6,141.5,M
1182,Female,38.9,138.2,M
1183,Male,29.8,132.5,XL
1184,Female,13.5,80.9,S
1185,Male,14.5,109.9,S
1186,Male,7,57.5,XS
1187,Male,3.3,55.4,XS
1188,Male,29.9,156,XL
1189,Male,15.9,71.1,XS
1190,Female,32.1,151.4,M
1191,Male,22.6,79.9,XS
1192,Male,46.3,170.3,XL
1193,Female,42.6,151,M
1194,Male,26.6,101.8,S
1195,Female,15.2,96.1,S
1196,Female,25.1,137.3,XL
1197,Female,44.1,161.8,XL
1198,Female,43.5,171.9,XL
1199,Female,16.2,67.2,XS
1200,Male,32.3,159.1,M
1201,Male,6.9,52.5,XS
1202,Male,56.8,173.8,L
1203,Male,32.6,110.8,M
1204,Female,25.8,93.9,S
1205,Female,7.9,84.8,XS
1206,Female,27.8,109.7,S
1207,Male,28.1,116.6,S
1208,Male,28.8,101.7,S
1209,Female,35.3,125,M
1210,Male,40.8,139.2,M
1211,Female,9.9,65.7,XS
1212,Male,33.8,135.6,M
1213,Female,35,125.5,M
1214,Male,34.2,130.8,M
1215,Male,14.8,103.7,S
1216,Male,30.3,114.8,M
1217,Male,22.2,103.1,S
1218,Female,39.3,146.6,M
1219,Male,39.2,152.3,M
1220,Male,21,95.8,S
1221,Male,39.3,163.6,XL
1222,Female,41.3,156.4,M
1223,Male,28.6,118.4,S
1224,Female,36.6,180.1,XL
1225,Female,36,157,M
1226,Female,51.7,152.8,L
1227,Male,18,104.6,S
1228,Male,11.1,79,XS
1229,Male,12.4,75.9,XS
1230,Female,31,89.9,M
1231,Male,19.3,123.4,XL
1232,Female,31.2,141.8,M
1233,Female,32.4,146.1,M
1234,Male,8.6,51.3,XS
1235,Male,21.5,102.9,S
1236,Female,11,76.6,XS
1237,Female,8.2,49.9,XS
1238,Male,36.3,143.8,M
1239,Female,34,128.5,M
1240,Male,22.1,111.9,S
1241,Male,40.2,159.4,M
1242,Female,6.2,60.5,XS
1243,Female,10.7,57.7,XS
1244,Female,49.4,146.9,M
1245,Male,16.6,63.5,XS
1246,Male,8,58.6,XS
1247,Male,12.2,85.7,S
1248,Female,15.5,82.9,S
1249,Female,45.7,148.8,M
1250,Male,14.1,82.6,S
1251,Female,39,161,XL
1252,Female,18.2,113.5,S
1253,Male,10.5,91.4,S
1254,Female,8.8,62.1,XS
1255,Male,15.9,62.4,XS
1256,Male,23.7,99.5,S
1257,Female,21.9,111.7,S
1258,Female,28.3,126.2,XL
1259,Female,23,57.2,XS
1260,Female,46.2,179.3,XL
1261,Male,43.8,150.8,M
1262,Male,32,127.5,M
1263,Male,31.9,114.9,M
1264,Male,33.4,139.7,M
1265,Female,18.4,85,S
1266,Male,40.6,152.1,M
1267,Female,45.2,159.2,M
1268,Female,14.7,89.8,S
1269,Male,22.7,123.2,XL
1270,Male,42.1,153.3,M
1271,Male,41.1,138,M
1272,Male,44,154.3,M
1273,Female,32.1,137.9,M
1274,Female,36.1,143.6,M
1275,Male,7.6,54.4,XS
1276,Female,16.6,117,S
1277,Male,6.6,67,XS
1278,Male,31.9,127.3,M
1279,Female,34.6,140.7,M
1280,Female,33.7,118.7,M
1281,Male,22.2,108.5,S
1282,Female,22.7,77.2,XS
1283,Male,41,163,XL
1284,Male,14.3,120.4,XL
1285,Male,41.1,132.9,M
1286,Female,11.4,74.8,XS
1287,Female,26.8,123.9,XL
1288,Male,7.8,63.5,XS
1289,Male,3.3,63.4,XS
1290,Male,40.8,133.5,M
1291,Female,41.6,166.8,XL
1292,Male,41.7,165.9,XL
1293,Female,20.6,70.7,XS
1294,Male,12.2,109.9,S
1295,Female,40.5,170.1,XL
1296,Female,28.6,135.9,XL
1297,Female,3.4,44.2,XS
1298,Male,33.7,131.3,M
1299,Male,25.4,131.5,XL
1300,Male,41.9,138.7,M
1301,Female,49.8,150.5,M
1302,Male,9.8,93.8,XS
1303,Male,15.4,75.9,XS
1304,Female,36,153,M
1305,Male,13.9,67.6,XS
1306,Female,41.1,133.3,M
1307,Female,18.8,88.3,S
1308,Female,25.5,110.4,S
1309,Female,18.7,80.5,S
1310,Male,30.5,110.2,M
1311,Male,28.5,131.8,XL
1312,Male,26.5,89.8,S
1313,Male,29.3,147.3,XL
1314,Male,46.9,157.9,M
1315,Female,14.3,72.1,XS
1316,Male,31.9,107.9,M
1317,Female,39.9,171.2,XL
1318,Male,19.2,80.4,S
1319,Female,16.5,81.7,S
1320,Male,44.2,134.1,M
1321,Female,22.3,98.7,S
1322,Female,18.5,98.7,S
1323,Female,17.6,69.6,XS
1324,Female,30.9,125.6,M
1325,Female,36.6,171.8,XL
1326,Male,33.4,139.9,M
1327,Male,15.7,75.4,XS
1328,Male,41.7,143.4,M
1329,Female,32.1,140.3,M
1330,Male,24.9,117.6,S
1331,Female,27.4,136.7,XL
1332,Male,22.7,95.7,S
1333,Male,38.5,161.9,XL
1334,Male,39.2,124.7,M
1335,Male,44.6,144.8,M
1336,Female,26.6,97.5,S
1337,Female,12.5,70.7,XS
1338,Male,14.6,65.5,XS
1339,Male,41.5,157.6,M
1340,Male,29.9,128.6,XL
1341,Female,25,112.9,S
1342,Male,9.7,55.8,XS
1343,Male,19.9,120.9,XL
1344,Male,34.6,164.4,XL
1345,Male,24.2,141.9,XL
1346,Female,3.1,67.8,XS
1347,Male,16.5,74.5,XS
1348,Male,23.6,127.7,XL
1349,Female,11.9,66.7,XS
1350,Female,36,155.6,M
1351,Male,40.7,139.4,M
1352,Female,21.1,102.3,S
1353,Male,16,82.8,S
1354,Female,18.7,96.4,S
1355,Female,37.8,127,M
1356,Male,16.2,60.4,XS
1357,Female,20.1,122.5,XL
1358,Female,20,70.8,XS
1359,Male,16.4,97.4,S
1360,Male,9.6,80.4,XS
1361,Female,7.7,42.5,XS
1362,Male,25.4,131.1,XL
1363,Male,39.9,162.8,XL
1364,Female,31,125.3,M
1365,Female,38.6,147.2,M
1366,Male,40.2,126.4,M
1367,Female,23.9,117.6,S
1368,Female,24.9,89.9,S
1369,Male,15.7,98.6,S
1370,Male,35.1,139.9,M
1371,Female,35.6,136.5,M
1372,Female,3.1,77.3,XS
1373,Male,28.2,114.2,S
1374,Male,10.9,81.9,S
1375,Female,26.1,93.5,S
1376,Male,37.2,132,M
1377,Female,38.5,140.3,M
1378,Female,27.1,114.7,S
1379,Male,8.8,51.2,XS
1380,Male,14.3,54.6,XS
1381,Female,15.4,72.8,XS
1382,Female,-2.3,39.9,XS
1383,Male,18.7,84.6,S
1384,Male,12.6,88.9,S
1385,Male,19.8,100.2,S
1386,Female,17.2,76.8,XS
1387,Female,6.5,74.2,XS
1388,Female,27.2,90.8,S
1389,Female,13.2,85.5,S
1390,Male,11.3,89.8,S
1391,Female,9.8,73,XS
1392,Female,-4.5,71,XS
1393,Female,37.3,156.5,M
1394,Male,22.3,92,S
1395,Female,24.6,97.2,S
1396,Male,28.4,112.6,S
1397,Female,22.2,95.8,S
1398,Female,16.8,88.5,S
1399,Male,25.8,142,XL
1400,Male,30.6,117,M
1401,Male,24.9,117.8,S
1402,Female,35.1,103.7,M
1403,Female,19.3,79.9,XS
1404,Female,40.2,136.3,M
1405,Female,8.4,80.7,XS
1406,Male,42.7,167.6,XL
1407,Male,39,162.2,XL
1408,Female,23.8,98.9,S
1409,Male,35.6,128.3,M
1410,Male,8.2,70.1,XS
1411,Male,10,76.1,XS
1412,Male,13.5,60,XS
1413,Male,24.9,117.2,S
1414,Male,36.7,129.7,M
1415,Male,28.4,98.8,S
1416,Female,34.9,129.7,M
1417,Male,31.3,140,M
1418,Male,12.3,73.9,XS
1419,Male,28.6,136,XL
1420,Female,13,92.4,S
1421,Male,12.2,81.6,S
1422,Male,31.6,124.8,M
1423,Male,36.2,159.8,M
1424,Female,14.1,78.8,XS
1425,Male,35.8,148.5,M
1426,Female,6.7,60.6,XS
1427,Female,14.8,92.8,S
1428,Male,33.3,132.5,M
1429,Male,30.2,104.5,M
1430,Female,16,84.8,S
1431,Male,26,83.6,S
1432,Male,19.8,111,S
1433,Male,1.2,61,XS
1434,Male,31.7,131,M
1435,Female,40.2,168,XL
1436,Female,8.9,70.7,XS
1437,Female,9.8,76,XS
1438,Female,12.5,88.9,S
1439,Male,16.3,97.6,S
1440,Female,21.3,113.9,S
1441,Female,22.8,109.3,S
1442,Male,38,150.5,M
1443,Female,40.2,170.7,XL
1444,Male,33.6,131.2,M
1445,Female,39.6,148.1,M
1446,Female,22.3,91.2,S
1447,Male,30.2,115,M
1448,Male,33.4,142.1,M
1449,Male,13.2,74,XS
1450,Male,41.3,158.3,M
1451,Male,23.3,135.1,XL
1452,Female,4.1,58.6,XS
1453,Female,9.2,48.1,XS
1454,Male,24.1,112.9,S
1455,Female,22.6,104.9,S
1456,Male,29.7,156,XL
1457,Female,18.3,96.6,S
1458,Female,41.6,168.8,XL
1459,Male,41.4,161,XL
1460,Male,2.9,45.8,XS
1461,Female,35.5,149.8,M
1462,Male,31.3,144.3,M
1463,Male,9.1,79,XS
1464,Male,17.1,110.2,S
1465,Male,18.2,99.9,S
1466,Male,26.9,127.1,XL
1467,Male,40.5,171.1,XL
1468,Male,2.9,72.6,XS
1469,Male,42.3,153.7,M
1470,Female,36.8,160.1,XL
1471,Female,11.5,58.1,XS
1472,Male,32,156.9,M
1473,Male,32.7,137,M
1474,Male,12.1,78.2,XS
1475,Male,5.2,70.5,XS
1476,Female,47.9,176,XL
1477,Male,25.1,114.5,S
1478,Male,8.9,59.9,XS
1479,Female,34.7,143.7,M
1480,Female,27.5,137.1,XL
1481,Female,12.1,80,S
1482,Male,13.3,76.1,XS
1483,Female,30.1,126.9,M
1484,Male,5.8,60,XS
1485,Male,17.3,83.6,S
1486,Male,31.4,127.3,M
1487,Male,12.2,79.7,XS
1488,Male,9.6,60.4,XS
1489,Female,1.3,53.8,XS
1490,Female,32.3,144.1,M
1491,Female,23.1,85.2,S
1492,Male,6,61.2,XS
1493,Male,42.7,160.8,XL
1494,Female,31,146.2,M
1495,Female,19.3,87.7,S
1496,Male,50.5,171.2,L
1497,Male,24.6,112.7,S
1498,Male,40.5,161.8,XL
1499,Female,8.4,85.3,XS
1500,Male,29.8,122,XL
1501,Female,16.1,106.2,S
1502,Male,33.9,127.2,M
1503,Male,20.2,96.4,S
1504,Female,34.1,151.4,M
1505,Female,36.3,155.5,M
1506,Male,10.5,67.9,XS
1507,Female,25,122,XL
1508,Male,25.5,83.7,S
1509,Male,37.9,163.3,XL
1510,Male,40.9,181.6,XL
1511,Male,2,64.8,XS
1512,Male,22.3,84.7,S
1513,Male,32.8,110.3,M
1514,Female,16.9,55,XS
1515,Male,30.8,146.3,M
1516,Male,23.2,84.7,S
1517,Female,14,77.6,XS
1518,Female,45.2,142.6,M
1519,Female,16.1,66.2,XS
1520,Male,13,70.5,XS
1521,Male,22.5,94.8,S
1522,Female,15.9,66.9,XS
1523,Female,15.4,85.4,S
1524,Male,30.8,130.8,M
1525,Male,43.8,158,M
1526,Male,14.4,80.4,S
1527,Male,30.1,148.1,M
1528,Female,24.8,127.8,XL
1529,Male,42.1,126.6,M
1530,Male,17.5,83.8,S
1531,Male,9,55.4,XS
1532,Female,10.9,61.6,XS
1533,Male,13.8,103.2,S
1534,Male,52.2,153.3,L
1535,Male,22.3,84.9,S
1536,Female,30.7,109.2,M
1537,Male,22.7,95.5,S
1538,Male,22.7,118.2,S
1539,Female,14.5,100.4,S
1540,Male,47.8,156.8,M
1541,Female,36.5,176.4,XL
1542,Male,30.2,122.2,M
1543,Female,22.7,70.4,XS
1544,Male,16.4,88.5,S
1545,Female,11.1,80.6,S
1546,Male,32.9,112.8,M
1547,Male,42,162.3,XL
1548,Male,41.5,158.2,M
1549,Male,45.3,165.5,XL
1550,Female,25.4,94.6,S
1551,Female,18.4,99.3,S
1552,Male,38.7,118.8,M
1553,Male,28,109.2,S
1554,Female,36.8,151.7,M
1555,Male,11.3,70.9,XS
1556,Female,24.1,90.3,S
1557,Female,30.6,128.2,M
1558,Female,14.3,67.2,XS
1559,Female,38.6,169.9,XL
1560,Female,38.5,130.3,M
1561,Male,33.3,134.3,M
1562,Female,20.6,105.7,S
1563,Male,39.4,165.5,XL
1564,Female,24.9,134.8,XL
1565,Male,9.1,67.4,XS
1566,Female,40.4,168.8,XL
1567,Female,29.2,146.1,XL
1568,Female,9.1,62.7,XS
1569,Female,36,160.2,XL
1570,Female,34.2,104.1,M
1571,Male,24.1,117.8,S
1572,Female,27.5,132.1,XL
1573,Male,13.5,58,XS
1574,Male,46.2,160.8,XL
1575,Male,42.3,164.9,XL
1576,Female,30.2,178,XL
1577,Male,30.5,104.2,M
1578,Female,12.4,66.3,XS
1579,Female,2.2,55.8,XS
1580,Male,18,95.4,S
1581,Male,13,49.4,XS
1582,Female,45.1,158.8,M
1583,Male,40.5,137.5,M
1584,Female,18,96.7,S
1585,Male,46.6,174.4,XL
1586,Male,21,101.8,S
1587,Male,13.3,52.4,XS
1588,Female,37,137.4,M
1589,Female,21.7,98.7,S
1590,Female,29.1,152,XL
1591,Male,27.5,117.3,S
1592,Male,35.7,162.3,XL
1593,Female,22.3,108.8,S
1594,Female,30.9,109.7,M
1595,Male,45.9,153.4,M
1596,Male,11,60.8,XS
1597,Male,47.5,158.2,M
1598,Male,6.3,67.5,XS
1599,Male,41.8,157.6,M
1600,Female,26.8,98.2,S
1601,Male,19.3,89.8,S
1602,Male,35.9,137,M
1603,Male,11.7,60,XS
1604,Male,16.1,80.6,S
1605,Male,24.6,91.6,S
1606,Female,23.9,106.5,S
1607,Male,23.6,78.4,XS
1608,Female,30.7,132.9,M
1609,Male,48.3,178.7,XL
1610,Female,28.4,110.8,S
1611,Female,39.5,142.5,M
1612,Female,1.8,55.1,XS
1613,Male,35.9,143.1,M
1614,Male,18.5,140.3,XL
1615,Male,27.5,120,XL
1616,Male,17.4,71.2,XS
1617,Female,9.9,57,XS
1618,Male,8.7,60.6,XS
1619,Male,15.9,78.3,XS
1620,Male,26.6,109.4,S
1621,Female,17,116.8,S
1622,Female,34.8,130.3,M
1623,Male,31.4,115,M
1624,Male,34.7,126.3,M
1625,Female,26.3,110.5,S
1626,Female,51.8,168.6,L
1627,Female,6.6,56.8,XS
1628,Female,21,89.7,S
1629,Female,20.9,124.2,XL
1630,Male,42.3,168.2,XL
1631,Female,34.7,147.4,M
1632,Male,27.3,120,XL
1633,Female,13.2,70.2,XS
1634,Female,37.9,163.2,XL
1635,Female,39.6,162.4,XL
1636,Male,12.9,71.2,XS
1637,Female,10.8,58.8,XS
1638,Male,52.8,167.6,L
1639,Male,15.3,63,XS
1640,Male,7.2,70.7,XS
1641,Female,39.1,178.1,XL
1642,Male,32.4,123.8,M
1643,Male,35.4,154.6,M
1644,Male,42.7,148.8,M
1645,Female,20.3,98.8,S
1646,Female,19.1,92.2,S
1647,Male,26.3,110.1,S
1648,Male,24.8,123.7,XL
1649,Male,3.6,52.4,XS
1650,Male,3.4,85.3,XS
1651,Female,42.8,176.8,XL
1652,Male,19.4,71.7,XS
1653,Female,29.6,148.3,XL
1654,Male,41,157.4,M
1655,Female,20.5,120.7,XL
1656,Male,20.5,121,XL
1657,Female,3.8,63.4,XS
1658,Male,11.4,81.3,S
1659,Female,9.4,73.5,XS
1660,Male,32.6,132.2,M
1661,Male,37.5,137.3,M
1662,Female,13.1,87.7,S
1663,Female,26.5,128.4,XL
1664,Male,11.8,80.1,S
1665,Female,35.4,135.3,M
1666,Female,15.6,74.6,XS
1667,Male,0.2,54,XS
1668,Female,38.2,144.3,M
1669,Male,46.2,163.3,XL
1670,Female,14.1,98.5,S
1671,Male,12.4,88.6,S
1672,Female,44.9,148,M
1673,Female,4.4,70.8,XS
1674,Male,37.3,151.6,M
1675,Female,11.5,76.3,XS
1676,Male,-4.7,75.4,XS
1677,Female,11.6,65.8,XS
1678,Female,17.2,107.4,S
1679,Female,26,121.1,XL
1680,Female,0.1,59.5,XS
1681,Female,27.1,93,S
1682,Female,19.7,105.8,S
1683,Female,30.5,116.6,M
1684,Female,22.4,99.3,S
1685,Female,28.4,95.7,S
1686,Male,7.7,68.2,XS
1687,Male,11.1,53.1,XS
1688,Female,-2.1,52.6,XS
1689,Female,14.9,71,XS
1690,Male,38.6,141.3,M
1691,Male,23.5,121.5,XL
1692,Female,16.1,55.7,XS
1693,Male,24.5,108,S
1694,Male,14.5,79.5,XS
1695,Male,45.8,157.2,M
1696,Female,36.8,157.8,M
1697,Male,51.2,168.1,L
1698,Female,20.8,92.2,S
1699,Female,10.3,87.2,S
1700,Female,16.7,81.2,S
1701,Male,41.8,139,M
1702,Female,11,72.1,XS
1703,Female,-1.5,44,XS
1704,Female,36,123.4,M
1705,Male,11.3,52.7,XS
1706,Male,32.4,147.1,M
1707,Male,38.5,160.2,XL
1708,Female,7.7,66.4,XS
1709,Female,13.3,76.6,XS
1710,Female,9.2,63.5,XS
1711,Male,0.7,51.5,XS
1712,Male,25.3,112.7,S
1713,Male,36,137.6,M
1714,Male,14.7,87.3,S
1715,Male,34.7,117.9,M
1716,Female,16.8,91.6,S
1717,Male,40.2,141.9,M
1718,Female,44.6,150.3,M
1719,Male,15,67.3,XS
1720,Male,37,143.3,M
1721,Male,43.9,157.3,M
1722,Female,4.5,94.8,XS
1723,Male,39.1,133.8,M
1724,Male,43.8,124.9,M
1725,Female,10.8,95.3,S
1726,Male,34.9,139.4,M
1727,Female,29.7,112.5,S
1728,Male,21.1,105.6,S
1729,Female,40.2,139.4,M
1730,Female,45.1,163.4,XL
1731,Male,15.4,91.8,S
1732,Female,23,126.7,XL
1733,Female,44.8,159.3,M
1734,Female,18.7,69.7,XS
1735,Male,17,79.5,XS
1736,Female,25.1,134.8,XL
1737,Male,34.3,139.7,M
1738,Female,16.8,95.2,S
1739,Female,22.6,110.6,S
1740,Male,43.8,153.2,M
1741,Male,35.2,127.7,M
1742,Male,33.8,152.9,M
1743,Male,17.2,105.3,S
1744,Male,8.2,52.2,XS
1745,Female,43.3,162.5,XL
1746,Male,16.4,98.3,S
1747,Male,44,159.4,M
1748,Male,6.3,56.4,XS
1749,Male,23.2,106.8,S
1750,Male,39,164.1,XL
1751,Female,20.2,86.2,S
1752,Female,25.4,106.4,S
1753,Female,31.7,135.5,M
1754,Male,9,48.5,XS
1755,Male,24.7,113.3,S
1756,Female,22.9,102.2,S
1757,Male,41.4,148.7,M
1758,Male,30.8,115.1,M
1759,Male,52.1,174.2,L
1760,Male,21.4,100.9,S
1761,Male,21,95.7,S
1762,Female,38.3,165.3,XL
1763,Female,26.6,123.2,XL
1764,Female,13.9,100.5,S
1765,Female,33.5,138.7,M
1766,Male,31.3,157.1,M
1767,Female,37,164.9,XL
1768,Female,28,87.4,S
1769,Female,4.9,57.5,XS
1770,Female,26.8,112,S
1771,Female,19.1,97.2,S
1772,Male,14.4,93.4,S
1773,Male,38.2,135.8,M
1774,Female,49.4,161.7,XL
1775,Female,18.7,60.1,XS
1776,Male,17,76.4,XS
1777,Female,36.1,139.1,M
1778,Male,9.8,46.1,XS
1779,Female,39.4,142,M
1780,Male,41.9,157.1,M
1781,Male,26.5,131.7,XL
1782,Female,9,53.4,XS
1783,Male,23.1,101.3,S
1784,Female,10.7,50.7,XS
1785,Female,39.1,154.4,M
1786,Male,40.7,154.6,M
1787,Female,37.1,139.7,M
1788,Male,37.3,140.8,M
1789,Female,29.7,86.5,S
1790,Female,28.7,121.2,XL
1791,Female,43.9,157.1,M
1792,Male,19.1,89.8,S
1793,Female,19.1,76.4,XS
1794,Female,8.6,50.8,XS
1795,Female,18,86.6,S
1796,Female,25.8,113,S
1797,Female,14.4,85.9,S
1798,Female,12.4,71,XS
1799,Female,44.5,168.7,XL
1800,Male,40,148.5,M
